Sprint,Main activity,Priority,Epic,Related Project,Responsáveis,Created,Timeline,Type,Arquivado,Related to Copy of Projetos (Related to Roadmap (Projeto)) 1,Related to Copy of Épicos (Tasks),Related to Copy of Épicos (Tasks) 1,Status
Sprint 1,Create Login,,Epics%20e502cbfb73a44660bd9a488543353176/Login%208a6cd0321d8b4ace9d567a9dd16c82ad.md,Projects%208c06dfbe488d429f862029a4c12279a9/Mobile%20App%20434d6a775f344cb29617dd0c578cf8a6.md,Bruno Alves Comitre,"October 1, 2021 10:15 PM",,Task 🔨,No,,,,
Sprint 2,Create Backend,,Epics%20e502cbfb73a44660bd9a488543353176/Login%208a6cd0321d8b4ace9d567a9dd16c82ad.md,Projects%208c06dfbe488d429f862029a4c12279a9/Mobile%20App%20434d6a775f344cb29617dd0c578cf8a6.md,Bruno Alves Comitre,"October 1, 2021 10:15 PM",,Task 🔨,No,,,,
Sprint 3,Create Prediction,,Epics%20e502cbfb73a44660bd9a488543353176/Internal%20View%20a5560b5bcab64427bdeb2c979399142e.md,Projects%208c06dfbe488d429f862029a4c12279a9/Prediction%20a7a61513b8ae44b78c6fd457310d12f9.md,Bruno Alves Comitre,"October 1, 2021 10:15 PM",,Task 🔨,No,,,,
Sprint 4,Update environment to support Application,,"Epics%20e502cbfb73a44660bd9a488543353176/Internal%20View%20a5560b5bcab64427bdeb2c979399142e.md, Epics%20e502cbfb73a44660bd9a488543353176/Login%208a6cd0321d8b4ace9d567a9dd16c82ad.md","Projects%208c06dfbe488d429f862029a4c12279a9/Mobile%20App%20434d6a775f344cb29617dd0c578cf8a6.md, Projects%208c06dfbe488d429f862029a4c12279a9/Prediction%20a7a61513b8ae44b78c6fd457310d12f9.md",Bruno Alves Comitre,"October 1, 2021 10:15 PM",,Task 🔨,No,,,,
Sprint 5,Database Manager,,Epics%20e502cbfb73a44660bd9a488543353176/Manager%20View%2004053841a68b456f8d3c7d72a9319177.md,Projects%208c06dfbe488d429f862029a4c12279a9/Backend%20b41ca52a3fd04e63b18c9d549e95290f.md,Bruno Alves Comitre,"October 1, 2021 10:15 PM",,Task 🔨,No,,,,
Sprint 6,Upload new environment AppOnline,,"Epics%20e502cbfb73a44660bd9a488543353176/Manager%20View%2004053841a68b456f8d3c7d72a9319177.md, Epics%20e502cbfb73a44660bd9a488543353176/Login%208a6cd0321d8b4ace9d567a9dd16c82ad.md, Epics%20e502cbfb73a44660bd9a488543353176/Internal%20View%20a5560b5bcab64427bdeb2c979399142e.md","Projects%208c06dfbe488d429f862029a4c12279a9/Mobile%20App%20434d6a775f344cb29617dd0c578cf8a6.md, Projects%208c06dfbe488d429f862029a4c12279a9/Prediction%20a7a61513b8ae44b78c6fd457310d12f9.md, Projects%208c06dfbe488d429f862029a4c12279a9/Backend%20b41ca52a3fd04e63b18c9d549e95290f.md",Bruno Alves Comitre,"October 1, 2021 10:15 PM",,Task 🔨,No,,,,
,Task 🔨,,,,,"October 1, 2021 10:15 PM",,,No,,,,
,Priority View,,,,,"October 1, 2021 10:15 PM",,,No,,,,
,Project Spec 🗺,,,,,"October 1, 2021 10:15 PM",,,No,,,,
,Bug 🐞,,,,,"October 1, 2021 10:15 PM",,Bug 🐞,No,,,,
Sprint 1,New Emojis Don't Render,P1 🔥,,Projects%208c06dfbe488d429f862029a4c12279a9/Mobile%20App%20434d6a775f344cb29617dd0c578cf8a6.md,Bruno Alves Comitre,"October 1, 2021 10:15 PM",,Bug 🐞,Yes,,,,In Progress
,Example,,,,,"October 1, 2021 10:15 PM","October 17, 2019 → October 5, 2019",Epic ⛰️,No,,,,In Progress